Team,Group,OVR,P(1st in Group) %,P(2nd in Group) %,P(3rd in Group) %,P(4th in Group) %,P(Advance to R32) %
Mexico,A,77.3,35.57,30.96,24.01,9.46,85.00
South Korea,A,77.1,35.23,30.70,23.93,10.14,84.73
Czechia,A,75.8,25.60,29.37,30.54,14.49,78.06
South Africa,A,69.9,3.60,8.97,21.52,65.91,26.00
Switzerland,B,78.2,48.48,29.57,16.48,5.47,91.32
Canada,B,75.5,28.43,32.14,27.78,11.65,81.35
Bosnia-Herz.,B,74.4,19.79,29.70,34.14,16.37,74.63
Qatar,B,68.7,3.30,8.59,21.60,66.51,24.76
Brazil,C,82.8,57.08,28.21,12.32,2.39,95.65
Morocco,C,79.3,27.57,38.06,26.63,7.74,85.89
Scotland,C,76.8,14.05,28.57,42.35,15.03,72.11
Haiti,C,70.0,1.30,5.16,18.70,74.84,15.89
Turkey,D,79.8,48.30,29.73,15.51,6.46,90.10
USA,D,77.7,33.83,33.70,21.63,10.84,83.35
Paraguay,D,74.0,12.62,22.99,34.58,29.81,58.48
Australia,D,71.2,5.25,13.58,28.28,52.89,36.00
Germany,E,82.2,52.14,30.14,16.00,1.72,96.07
Ivory Coast,E,79.4,29.89,37.39,28.17,4.55,89.38
Ecuador,E,77.3,17.46,30.10,43.76,8.68,80.45
Curaçao,E,67.6,0.51,2.37,12.07,85.05,8.32
Netherlands,F,81.9,50.62,29.19,16.30,3.89,93.63
Sweden,F,78.4,25.38,33.17,30.73,10.72,81.85
Japan,F,78.0,22.14,31.39,33.96,12.51,78.63
Tunisia,F,70.5,1.86,6.25,19.01,72.88,18.16
Belgium,G,80.8,71.75,20.88,6.02,1.35,97.74
Egypt,G,75.1,20.91,46.67,22.81,9.61,83.61
Iran,G,71.1,5.36,21.68,42.51,30.45,50.71
New Zealand,G,68.3,1.98,10.77,28.66,58.59,26.56
Spain,H,84.9,73.75,23.85,2.22,0.18,99.50
Uruguay,H,79.5,24.68,60.85,12.16,2.31,94.48
Saudi Arabia,H,70.1,1.19,10.05,51.18,37.58,32.91
Cape Verde,H,68.0,0.38,5.25,34.44,59.93,17.35
France,I,84.6,58.91,27.34,12.78,0.97,97.74
Norway,I,80.7,22.87,37.47,34.94,4.72,87.53
Senegal,I,79.0,17.93,33.11,42.19,6.77,83.04
Iraq,I,68.6,0.29,2.08,10.09,87.54,6.60
Argentina,J,84.0,75.00,18.49,6.05,0.46,99.05
Austria,J,76.2,13.61,40.72,36.75,8.92,79.78
Algeria,J,75.6,10.90,36.82,41.35,10.93,76.10
Jordan,J,67.5,0.49,3.97,15.85,79.69,10.86
Portugal,K,83.6,66.98,23.73,7.24,2.05,96.82
Colombia,K,78.3,23.05,43.28,24.02,9.65,83.05
DR Congo,K,74.2,7.69,23.30,41.20,27.81,55.50
Uzbekistan,K,70.7,2.28,9.69,27.54,60.49,25.73
England,L,83.4,59.72,27.77,10.79,1.72,96.70
Croatia,L,79.8,28.57,41.23,24.28,5.92,87.87
Ghana,L,75.8,10.78,26.01,45.67,17.54,66.31
Panama,L,69.1,0.93,4.99,19.26,74.82,14.65
